alias_fuente,dni,tipo_dni,dni_pais_emisor,nombre_completo,tipo_persona
Alan,16234891-2,RUN,Chile,Alan Torres,tecnico
Loreto,17456123-K,RUN,Chile,Loreto Fuentes,tecnico
Jorge,15789234-5,RUN,Chile,Jorge Muñoz,tecnico
Jose,18123456-7,RUN,Chile,José Sanchez,tecnico
José,18123456-7,RUN,Chile,José Sanchez,tecnico
Sanchez,18123456-7,RUN,Chile,José Sanchez,tecnico
Cristian,19345678-9,RUN,Chile,Cristian Vera,tecnico
Victor,14567890-3,RUN,Chile,Victor Ramos,tecnico
Victor,14567890-3,RUN,Chile,Victor Ramos,tecnico
Marco Rojas,16891234-K,RUN,Chile,Marco Rojas,operador
Marcos Rojas,16891234-K,RUN,Chile,Marco Rojas,operador
Marco Roja,16891234-K,RUN,Chile,Marco Rojas,operador
Cristian Estay,17234567-8,RUN,Chile,Cristian Estay,operador
Cesar Salgado,15678901-2,RUN,Chile,Cesar Salgado,operador
Moises Tapia,18456789-K,RUN,Chile,Moises Tapia,operador
Moises Tapìa,18456789-K,RUN,Chile,Moises Tapia,operador
Leonel Gutierrez,14789012-3,RUN,Chile,Leonel Gutierrez,operador
Leo Gutierrez,14789012-3,RUN,Chile,Leonel Gutierrez,operador
Gabriel Espindola,17123456-9,RUN,Chile,Gabriel Espindola,operador
Gabriel Espindiola,17123456-9,RUN,Chile,Gabriel Espindola,operador
Cesar Casanova,16345678-4,RUN,Chile,Cesar Casanova,operador
Rodrigo Madariaga,19567890-1,RUN,Chile,Rodrigo Madariaga,operador
Alexis Castro,20123456-7,RUN,Chile,Alexis Castro,operador
Jorge Aracena,15890123-K,RUN,Chile,Jorge Aracena,operador
Eduardo Tejada,18234567-5,RUN,Chile,Eduardo Tejada,operador
Mauricio Bruna,16678901-8,RUN,Chile,Mauricio Bruna,operador
Freddy Astudillo,17901234-3,RUN,Chile,Freddy Astudillo,operador
Fredy Astudillo,17901234-3,RUN,Chile,Freddy Astudillo,operador
Jonathan Saavedra,19123456-K,RUN,Chile,Jonathan Saavedra,operador
Jhonatan,19123456-K,RUN,Chile,Jonathan Saavedra,operador
Miguel Perez,14345678-9,RUN,Chile,Miguel Perez,operador
Nain Cortez,21567890-2,RUN,Chile,Nain Cortez,operador
Nain Cortes,21567890-2,RUN,Chile,Nain Cortez,operador
Ricardo Maturana,16789012-7,RUN,Chile,Ricardo Maturana,operador
Ricardo Matrurana,16789012-7,RUN,Chile,Ricardo Maturana,operador
Nelson Silva,18012345-4,RUN,Chile,Nelson Silva,operador
